openalex_id,display_name_or_alias,orcid,institutions,n_institutions,n_works_in_input
https://openalex.org/A5084959323,Pamela Zontone,https://orcid.org/0009-0005-9119-4481,University of Genoa,1,5
https://openalex.org/A5031842403,Sara Garbarino,https://orcid.org/0000-0002-3583-3630,Istituti di Ricovero e Cura a Carattere Scientifico; Ospedale Policlinico San Martino; University of Genoa,3,5
https://openalex.org/A5098680735,Shehzaib Shafique,,Italian Institute of Technology,1,5
https://openalex.org/A5034953500,Silvia Zanchi,https://orcid.org/0000-0003-0572-0480,Italian Institute of Technology,1,5
https://openalex.org/A5077319872,Simone Cammarasana,https://orcid.org/0000-0002-2549-8330,Institute of Intelligent Systems for Automation; Istituto di Matematica Applicata e Tecnologie Informatiche,2,5
https://openalex.org/A5000034751,Simone Pittaluga,https://orcid.org/0000-0001-7416-3484,Istituto di Matematica Applicata e Tecnologie Informatiche,1,5
https://openalex.org/A5043426516,Tommaso Sorgente,https://orcid.org/0000-0001-8699-6379,Istituto di Matematica Applicata e Tecnologie Informatiche,1,5
https://openalex.org/A5004012873,Andrea Tacchino,https://orcid.org/0000-0002-2263-7315,Associazione Italiana Sclerosi Multipla,1,4
https://openalex.org/A5076626140,Antonino Massone,,Azienda Sanitaria Locale N. 2 Savonese; Ospedale Santa Corona,2,4
https://openalex.org/A5071235099,Brigida Bonino,https://orcid.org/0000-0002-4264-3958,Istituto di Matematica Applicata e Tecnologie Informatiche; National Research Council,2,4
https://openalex.org/A5053276966,Enrico Zero,https://orcid.org/0000-0002-9995-1724,University of Genoa,1,4
https://openalex.org/A5032083229,Francesca Odone,https://orcid.org/0000-0002-3463-2263,University of Genoa,1,4
https://openalex.org/A5016510324,Giampaolo Brichetto,https://orcid.org/0000-0003-2026-3572,Associazione Italiana Sclerosi Multipla,1,4
https://openalex.org/A5091579568,Jessica Podda,https://orcid.org/0000-0002-9327-9148,Associazione Italiana Sclerosi Multipla,1,4
https://openalex.org/A5033236229,Katia Lupinetti,https://orcid.org/0000-0002-0202-4909,Istituto di Matematica Applicata e Tecnologie Informatiche; National Research Council,2,4
https://openalex.org/A5009548607,Ludovico Pedullà,https://orcid.org/0000-0002-2547-382X,Associazione Italiana Sclerosi Multipla,1,4
https://openalex.org/A5073062701,Marco Pisanello,https://orcid.org/0000-0003-2179-7883,Center for Biomolecular Nanotechnologies; Italian Institute of Technology,2,4
https://openalex.org/A5045859375,Martina Paccini,https://orcid.org/0000-0002-9751-6104,Istituto di Matematica Applicata e Tecnologie Informatiche,1,4
https://openalex.org/A5025844977,Massimo Guarascio,https://orcid.org/0000-0001-7711-9833,Institute for High Performance Computing and Networking; National Research Council,2,4
https://openalex.org/A5068329396,Michela Spagnuolo,https://orcid.org/0000-0002-5682-6990,Istituto di Matematica Applicata e Tecnologie Informatiche,1,4
https://openalex.org/A5056952732,Roberto Sacile,https://orcid.org/0000-0003-4086-8747,University of Genoa,1,4
https://openalex.org/A5076801567,Vincenzo Mastronardi,https://orcid.org/0000-0002-7782-8071,Center for Biomolecular Nanotechnologies; Innovation Engineering (Italy); Italian Institute of Technology; University of Salento,4,4
https://openalex.org/A5104124319,Alberto Neri,,Brigham and Women's Hospital; Engineering (Italy); Harvard University; Italian Institute of Technology; University of Genoa,5,3
https://openalex.org/A5013104931,Angelica Liguori,https://orcid.org/0000-0001-9402-7375,Institute for High Performance Computing and Networking; National Research Council,2,3
https://openalex.org/A5020120126,Angelo Schenone,https://orcid.org/0000-0002-2604-7830,Ospedale Policlinico San Martino; University of Genoa,2,3
https://openalex.org/A5034749265,Antonella Priarone,https://orcid.org/0000-0002-3613-8592,University of Genoa,1,3
https://openalex.org/A5044245930,Antonio Uccelli,https://orcid.org/0000-0002-2008-6038,Ospedale Policlinico San Martino; University of Genoa,2,3
https://openalex.org/A5115545780,Beatrice Lagomarsino,,University of Genoa,1,3
https://openalex.org/A5086364062,Beatrice Orso,https://orcid.org/0000-0001-9983-7940,University of Genoa,1,3
https://openalex.org/A5047432056,Carlos Beltrán,https://orcid.org/0000-0001-7721-0979,Italian Institute of Technology,1,3
https://openalex.org/A5101815416,Chiara Baldini,https://orcid.org/0009-0006-5287-2478,Engineering (Italy); Italian Institute of Technology; University of Genoa,3,3
https://openalex.org/A5090273154,Claudio Campus,https://orcid.org/0000-0002-7097-4500,Italian Institute of Technology,1,3
https://openalex.org/A5072706792,Cristina Campi,https://orcid.org/0000-0003-2105-8554,Ospedale Policlinico San Martino; University of Genoa,2,3
https://openalex.org/A5083708156,Dario Arnaldi,https://orcid.org/0000-0001-6823-6069,Ospedale Policlinico San Martino; University of Genoa,2,3
