display_name,id,coords,country_code,ror,type
Massachusetts General Hospital,https://openalex.org/I4210087915,"42.3628605, -71.068753",US,https://ror.org/002pd6e78,healthcare
University of Milano-Bicocca,https://openalex.org/I66752286,,IT,https://ror.org/01ynf4891,education
Associazione Italiana Sclerosi Multipla,https://openalex.org/I4210088303,"44.4114362, 8.883283",IT,https://ror.org/006z1y950,nonprofit
Free University of Bozen-Bolzano,https://openalex.org/I171543936,"46.498298, 11.3501018",IT,https://ror.org/012ajp527,education
Universitat de Barcelona,https://openalex.org/I71999127,"41.3868596, 2.1634784",ES,https://ror.org/021018s57,education
Institute of Condensed Matter Chemistry and Technologies for Energy,https://openalex.org/I4210109673,,IT,https://ror.org/01rg40y89,facility
Universidad Carlos III de Madrid,https://openalex.org/I50357001,"40.3150937, -3.7248793",ES,https://ror.org/03ths8210,education
Bristol Robotics Laboratory,https://openalex.org/I4210161128,"51.5015294, -2.5521073",GB,https://ror.org/056sbyc67,facility
University of the West of England,https://openalex.org/I178535277,"51.5007679, -2.5503106",GB,https://ror.org/02nwg5t34,education
Azienda Sanitaria Locale N. 2 Savonese,https://openalex.org/I4210149359,,IT,https://ror.org/04kz5k469,healthcare
Ospedale Santa Corona,https://openalex.org/I4210163561,"45.5809471, 9.0964882",IT,https://ror.org/05jse4442,healthcare
Delft University of Technology,https://openalex.org/I98358874,"51.9988274, 4.3739604",NL,https://ror.org/02e2c7k09,education
Engineering (Italy),https://openalex.org/I4210127672,"43.7960052, 11.2215076",IT,https://ror.org/045s9b323,company
Aalto University,https://openalex.org/I9927081,"60.1860789, 24.8281018",FI,https://ror.org/020hwjq30,education
University of Helsinki,https://openalex.org/I133731052,"60.2267221, 25.01767",FI,https://ror.org/040af2s02,education
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,https://openalex.org/I2738703131,,FR,https://ror.org/00jjx8s55,government
Inria Saclay - Île de France,https://openalex.org/I4210126360,"48.7143856, 2.2055746",FR,https://ror.org/0315e5x55,government
Azienda Ospedaliera Citta' della Salute e della Scienza di Torino,https://openalex.org/I4210086903,,IT,https://ror.org/001f7a930,healthcare
Collège de France,https://openalex.org/I187986737,"48.8493233, 2.3461573",FR,https://ror.org/04ex24z53,education
Laboratoire Kastler Brossel,https://openalex.org/I2801195679,"48.8432252, 2.3464662",FR,https://ror.org/01h14ww21,facility
Université Paris Sciences et Lettres,https://openalex.org/I2746051580,,FR,https://ror.org/013cjyk83,education
Howard Hughes Medical Institute,https://openalex.org/I1344073410,"38.998479, -77.0795529",US,https://ror.org/006w34k90,facility
Zhejiang University,https://openalex.org/I76130692,"30.521595, 120.7195312",CN,https://ror.org/00a2xv884,education
Institut de Nanociència i Nanotecnologia de la Universitat de Barcelona,https://openalex.org/I4401200369,,,https://ror.org/034nc1205,facility
